Index,Metabolite,S1_1,S1_2,S1_3,S2_1,S2_2,S2_3,S3_1,S3_2,S3_3,S4_1,S4_2,S4_3,S5_1,S5_2,S5_3,Class I,Class II,Level,Q1 (Da),Q3 (Da),Ionization model,Molecular Weight (Da),Formula,CAS
NEG_q38,3-(Carboxymethylamino)Propanoic Acid,26860441.78,30482784.86,30850045.24,46336785.59,49315390.67,54990647.05,47890107.58,52826155.55,51069561,33677996.58,36095446.42,34247035.88,22909742.85,23843012.2,22639967.41,Amino acids,Alpha Amino Acids,1,146.1,101.9,[M-H]-,147.1,C5H9NO4,505-72-6
NEG_q261,Miraxanthin-V,61816,43999.95499,74001.01853,46741.52792,44214.94454,41015,23866.59803,27288,28099.42662,33881.56555,29036.10922,17402.50222,0,0,0,Amino acids,Alpha Amino Acids,1,381.1,111,[M+Cl]-,346.1,C17H18N2O6,5375-64-4
